idx	C3L-00561	C3L-01287	C3L-01603	C3N-01524	C3N-01214	C3N-00834	C3N-01261	C3L-00917	C3L-01861	C3L-01352	C3N-00194	C3L-00010	C3L-00607	C3N-00495	C3N-00831	C3L-01281	C3N-01646	C3L-00791	C3L-00369	C3L-00183	C3N-00168	C3L-00004	C3N-00150	C3N-00953	C3L-00097	C3L-00583	C3N-01178	C3L-00088	C3N-00244	C3L-00908	C3L-00814	C3L-01885	C3L-00026	C3L-00447	C3N-00148	C3N-00246	C3L-00416	C3L-00096	C3L-00765	C3L-01836	C3L-00902	C3N-00646	C3L-00011	C3N-01200	C3N-00177	C3N-01176	C3L-00103	C3N-01649	C3N-01808	C3N-00149	C3L-00817	C3N-00573	C3L-00581	C3L-01313	C3L-00360	C3N-01361	C3N-01651	C3L-01302	C3L-00907	C3L-01607	C3L-00448	C3L-01286	C3N-01179	C3L-00606	C3N-01648	C3N-00242	C3L-01882	C3L-00418	C3N-00733	C3N-00577	C3N-01522	C3L-00079	C3N-01220	C3L-00910	C3L-01283	C3L-00813	C3L-01560	C3L-01557	C3L-00799	C3L-00796	C3L-00792	C3L-01288	C3L-00766	C3L-00610	C3L-00800	C3N-00154	C3N-01213	C3L-01553	C3L-00812	C3L-00790	C3N-00852	C3N-00437	C3N-00320	C3N-00305	C3N-00315	C3N-00317	C3N-00491	C3N-00314	C3N-00380	C3N-00312	C3N-00494	C3N-00390	C3N-00310
ENSG00000000003.15	24.467016071428	23.3816838412918	23.6361196559354	22.5585508347689	22.2083526805218	23.7230158876583	23.2137992773822	22.4182786030551	22.0164535964478	23.5698801756081	22.7186267210587	23.5103565484797	24.1360695212171	22.7535718943234	23.2353528797867	23.7180170808967	24.0628815824821	23.7248660630446	23.8747428720174	22.2498558611891	22.8861623509983	24.0260804963837	23.1387442478293	24.0142063275455	23.1251390707294	23.8429314058458	23.0992461028236	23.2094641068788	23.1666755857196	23.1695548939191	22.7420725089814	22.795378359144	22.9162573149548	22.9382624385329	23.163151312775	23.0310273588431	24.1629982826792	23.350655957691	22.5344396563565	23.4593320813872	23.1077891647706	22.9046795691065	21.7908720841453	23.500429062129	22.2626663906155	22.2678818634986	22.9902072161816	23.3181075274282	22.5560776698007	22.3517025726384	22.9071791366248	24.1043928586326	23.2520298982406	23.9237721439987	23.822300951924	23.2308463813124	23.4502821399961	23.5492917890425	22.797462070585	23.7640000081331	23.3187297575628	24.8851245568583	23.7341465194533	23.937010031449	22.1290293158746	24.2489727305936	23.3733306377653	22.7872945298244	23.7766296832837	23.4137497090618	24.1025201539588	23.6338326483334	22.5864830252199	22.2659190639763	22.8044349525578	23.0417731084306	22.3075594489459	23.6785660021708	24.0046848541528	22.6799757112979	22.3881679292439	24.1381486955742	22.8265653342687	23.7195944932119	22.5369563084789	22.9102887110447	23.1796014829607	23.3184237273879	23.1998033950849	23.0581876086863	24.3768724657147	22.9396774692097	23.7585805263533	22.9336303074972	22.91635301766	24.0631902631222	23.2409806069823	23.4090060002044	22.7532578934507	23.6046191715998	22.1657590890264	22.07602542372	23.6298639051531
ENSG00000000419.12	25.517762222641	24.7014723356963	24.8802785415183	24.609537226457	25.0271709009486	25.0638918661616	24.8701457611456	25.1249043102342	24.7776978449259	24.8218313345538	24.7800504869135	24.8947665780674	24.6569874162773	24.8406048765431	24.803046574808	24.9740348980199	24.8372188628832	24.9979822081373	24.72998939971	24.6909513220642	24.4838162609284	24.8853292146393	24.9019829405309	25.1748316175999	24.7112115590633	24.7894678666514	25.0712453551801	24.9625387861653	24.8595905836439	25.177672477446	25.2078597862208	24.8363065010418	25.2540312124106	25.2012831510366	24.8733429700353	25.0023088147063	25.0883169201055	25.1925209259974	24.7779470873329	24.9937527257374	24.7508261755563	24.8969331893559	25.5994826883201	25.0405752758307	25.0607866582557	24.87772657892	24.9105688687877	25.0592039057139	24.7620269133973	25.2180776071751	24.9950220603951	25.0981393247845	25.1178470035521	24.8623409931048	26.3177221327367	24.9195225627537	25.1456891851693	24.983941086456	24.772715449767	24.9205159884444	24.6639729828231	25.2232421136982	24.7242396429928	26.0958159507936	25.3660832245201	25.0950712121453	24.9442187293038	24.8105645629931	24.75944696521	25.258148023062	25.3692143106411	25.2167185980878	25.2336941593493	24.7275582456948	24.943351901886	24.8069627886281	24.8603656417812	25.1914719288547	24.773830525375	25.0076014979863	25.1410043814204	25.0954731859957	24.97530299602	26.2042720598986	24.7753696232298	24.8197793901442	24.986702139146	24.5018678339318	24.9685013021788	24.6964639950802	24.6807029258127	25.0937181914383	25.0580828411	24.5951389340565	25.3566911493253	25.024668177896	25.2315143303206	24.6619336945738	24.7983011090378	24.9601510205944	24.7571712075126	25.0497462227231	24.6945721046262
ENSG00000000457.14	21.1600521418327	20.6601041893086	20.9180989571225	21.0984448423952	20.4515285404287	20.9871468311373	20.5057061307571	20.6271230231276	21.1448884344261	20.6457488984461	20.8579100177649	20.644752351684	20.6113197851429	22.1185784505926	21.3190510658945	20.6964862188133	20.8603207296252	20.379339587457	20.6085612236551	21.5489972989104	21.8668052663849	20.306958983133	21.4061896109881	20.932397973814	20.9277304383726	21.4248739048075	20.3334953000857	20.5517436157173	20.8703822360565	21.4169047221852	21.2036586691862	21.4210094409897	21.3854047079812	NA	NA	NA	NA	21.1844405077177	21.1226630023131	20.5614830487793	21.1442374289334	20.843017409521	20.945268062351	20.8306123518605	21.3358609475152	NA	NA	NA	NA	20.3608154413997	20.8150156318443	20.6113583230175	21.1076995140324	21.3747022125381	21.3100623119529	20.4802106260309	20.5459346143362	20.41278122411	22.0410352836471	20.9118864267831	20.5753319233707	20.6125318782924	20.7571339755881	20.7951581323929	20.8981494796527	20.7052737015138	21.5218111897037	20.9410571553912	21.2551589125139	22.0113418298808	20.7239998473303	20.8438732030177	21.0066413835026	21.5533816229581	20.7111861098312	21.1397813545072	21.2053579346239	20.987068943997	20.8674047733572	21.3848962292484	21.7848937786416	20.5723636767839	21.7720307239138	20.859652598033	21.854190155206	21.2091722083882	20.8595682772636	21.5827304973476	20.6748740726686	21.4305920647271	NA	NA	NA	NA	21.5531723952686	20.8392839677734	20.5996003676657	20.5951191526174	21.1206591587213	20.9628908597303	21.6040071516713	20.9844238514593	20.8522214216907
ENSG00000000938.13	20.3050196898521	19.8964358483859	19.9944026264572	20.2637933950378	NA	NA	NA	NA	20.00852511038	19.5045689144557	20.1902019195648	19.960690750031	20.2870931874175	NA	NA	NA	NA	20.1410279931888	19.4763825784218	19.62246307199	19.8098852677996	19.8649143315098	19.5084516866019	20.0384471249627	19.4210954912165	NA	NA	NA	NA	19.7538554447721	19.5489363529545	19.7465888145092	19.6582583261734	NA	NA	NA	NA	19.1575460713008	19.4007334814824	19.4438213225712	19.299671059856	19.3856463094923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.534927357576	19.1854991645097	19.5772965735957	19.9881824417506	NA	NA	NA	NA	18.982609045683	19.9135531098145	19.8067348563366	19.4198534499567	NA	NA	NA	NA	19.4334674537013	19.3368764678529	22.139347911514	20.5130776839846	19.5919133649008	19.348709072159	19.9755630357312	19.1770243822542	19.318817971436	20.1948153227106	19.6679894452818	19.4249349453526	19.5504023671302	19.4151154116351	19.7688262381123	20.0553584868724	19.475960307908	19.9194031723792	19.5805837923047	20.0897428735803	20.0116940878235	20.1158827394168	19.8084665089226	19.2075997150917	20.0838848761797	20.0682207678655	19.3889882580351	19.3718655127312	NA	NA	NA	NA	NA
ENSG00000000971.16	27.6771437315519	27.9777688956119	28.9135439363785	28.4782068094734	27.8419558375966	28.0155845662297	28.0647132386188	27.7708058390906	27.6151618848485	28.30565017103	28.0593624660344	28.8749916616382	27.7863408637143	27.558202905303	29.0218917410008	27.9710234349656	28.7355354717909	27.140754712583	28.0469835016679	27.350381151852	28.2942393834108	27.4322921191599	29.3096938959194	27.7714747175587	28.7664811084766	29.0806797572051	27.6737937429085	28.3190924945613	28.041082389794	27.3887262045751	27.0119562213922	27.701218949923	27.2495743446496	28.4307204898954	28.1258392344281	27.7643558505515	28.038680061124	27.2566873192728	29.103421001597	27.8909185908993	29.5165613621343	28.9805263629911	27.9569351210283	28.3060626450259	27.4461556899299	27.3952748914493	28.9492328208678	28.0185999084669	27.3047660002823	29.1021581693232	28.8870611426155	28.5160643551273	27.9908732780721	27.6934241228808	28.9873938291881	28.1190398516465	28.126067639274	29.9544559529393	28.5091517022038	27.8913861708204	27.8812580298233	27.3312556111152	28.407048877925	26.7908504796736	27.0073885177318	27.1024408020713	28.4282539602622	27.4647473048551	27.8389384444526	28.613156465492	27.2688626657539	28.2071682945891	30.3551605094152	27.7637496970258	27.8862445689545	27.8333602065479	27.7688172867006	28.5241489879301	28.3156922100891	27.776332273857	27.1243308477941	28.9210623926848	27.5872542373119	28.7842515590271	27.2279919971515	27.9296108630723	28.9806139761548	28.9704733806142	28.0897742416473	28.0171056572634	26.9851479124065	28.9596340741536	27.7436960266997	29.1154052729828	26.874853624597	27.8352143979734	28.0685426921062	27.8892663148981	27.7017847405785	27.3535561648427	28.159823589292	28.1880128409946	28.3256651556243
ENSG00000001036.14	25.4744364576854	25.388707961725	25.1799004459218	25.0864956751257	25.2248992175072	24.9497196343798	24.6705125803111	25.4543744528715	25.4888509595826	25.4615930514262	25.9074281600515	25.5105640860066	25.2741832045946	25.674227555431	25.0859113757149	25.2296529228361	25.2432307115704	24.5351600815976	24.7783708515146	25.3060030714164	25.3316793653966	24.743874817262	25.4244103256162	25.4566869902631	24.6711217587504	25.7956484680892	24.7306402000056	25.1193710668509	24.6814049405891	25.6742758758392	24.6647287146024	24.9163598189083	25.6337747753648	25.1564047211459	25.0643915217495	25.2349453885493	24.8026052796298	24.7290184820931	24.9923445633746	24.7717678038235	25.596600793765	25.4748556513651	24.722522407615	25.489613492643	25.5003909743866	25.6285291779731	25.0281110944398	24.4501991893728	24.8822821036234	25.1807157696242	24.9632479587848	25.2046423538057	25.4962017048344	24.4964610269576	24.8537689287057	25.0570489440705	25.2206097189401	25.5816822907195	24.8578001448694	25.0647821256689	24.8493236362811	25.261742037228	24.7771063699842	24.6756804620003	24.6509905113772	25.2172931983437	25.4001203658839	25.295449045056	24.9794050673459	25.7662839980299	25.002910990833	25.1402240058671	25.6282739166844	25.2086895558874	24.8880844435734	25.0211172107042	25.0052665068369	25.0022297566235	25.3189651992482	24.8320658930305	24.9753328005162	24.9314069808411	25.0269706853739	25.3343419906747	25.1483606837086	25.153774549518	25.0185883096473	25.6559429820821	24.9641337518185	25.4065012021446	24.5742091063321	25.0563662952639	24.0297330166176	25.0392357904858	25.0144129724541	25.20783987979	25.0895354923245	24.7384852143558	25.0410487936255	25.081555314371	24.8153898425764	24.454135003838	24.6772066285996
ENSG00000001084.13	25.3988729965979	25.1345230904892	25.7308277861727	25.9484650461296	26.0983980874294	25.8654354840187	25.5363337937816	26.2980358334979	26.7095016096267	25.9048698300414	26.1538057583534	25.4111778122829	25.8308567787558	26.763017457763	25.7672429120149	25.6835588196808	25.2636565672124	25.4408766442838	25.3688837668473	26.4200926025663	26.0968290268015	25.4327004140219	25.8776753549753	25.400989940168	25.73306721035	25.6636721938929	25.5994330830713	26.1039081603175	25.4498584282983	25.5176060160258	25.9462775286582	26.0400504242309	25.9029786102627	25.7756733119064	25.1849229490806	25.8071894827043	25.19082264974	25.2865697603123	25.59890641606	25.4009814570669	25.9179015538169	25.5022709190819	25.1232610215342	25.1558349068024	26.272042695091	26.1384785918401	25.4306007310182	25.2987727481182	26.1643918542155	24.6439712168882	25.5109564360306	25.0791266506516	25.2573567842658	25.3787754410948	25.4555264103137	25.5873481816822	25.9763139425608	25.2887030753262	26.4669820029753	25.5469361187384	25.6124761417534	25.1748801435767	25.8776881622801	25.8630329135341	25.6376941321032	25.2028514245499	25.7211194579019	26.1356523622703	25.6145207985161	25.5396871326713	25.6386507604702	25.0829773425981	25.4632940657948	26.6560604014912	25.717092224604	25.6896766532874	26.2199723238845	25.2952499040378	25.8093029536814	26.2904072179042	26.24648093287	25.392821020662	26.230806626594	26.0848414429401	26.4741852474888	26.2858538910691	25.4165360430692	25.9985342448093	25.6247906887707	26.0956671499739	25.5327046921562	25.8675176865679	25.2781971002077	25.8658259151158	25.4007559973065	25.5466406899369	25.2394327806851	25.9061364122175	26.2103828768558	25.516413407336	25.9551396563843	25.7947030273384	25.7598504451562
ENSG00000001167.14	19.9282892599281	19.5062440831273	20.7434856827938	20.9570708509308	21.2315845584298	20.0421479796228	20.4853571045465	21.350780820949	20.442383202877	20.6482265122523	20.487962402009	20.3417249583738	20.4102992728993	22.1541099451197	20.882637531124	19.9556923911953	21.4389972327545	20.127876160672	20.8506153647838	21.5819023876339	21.2694141369774	20.6765030459696	20.9811102549565	19.8220855202246	21.2678567865776	19.9762252870193	19.9718606443959	20.2702163803385	20.140445861447	21.1673905748546	19.703301999146	21.2936759554761	20.0004306893224	20.7672610238853	20.1261956886951	20.190483711955	19.9416596111027	19.9863616727741	20.2696713628734	20.0557671293434	20.8227494158702	20.0651394016017	NA	NA	NA	20.7825615678784	20.9720653012684	20.974342859707	20.4206235025246	NA	NA	NA	NA	NA	20.6666738861803	21.1519422394315	20.540075686322	20.7176410102276	20.3097254131748	19.9925587307013	20.4020148544003	20.0231598606954	20.5225280555573	19.6041083495442	22.115536583698	20.042047599529	20.4701275425546	20.42151049963	20.3490314840838	20.1964308692898	19.7287122857254	20.0553143740288	20.6815061571565	21.3575973618844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.0214949840571	19.9843104997267	20.0771166152087	20.4893909018712	NA	NA	NA	NA	20.3701514078527	20.081560924993	20.4960598295884	20.5258283275259	20.4119118928732
ENSG00000001461.17	NA	NA	NA	NA	19.959448027796	20.324759433738	20.3250425475026	20.2419769615586	NA	NA	NA	NA	NA	20.4928720078855	20.7208527991666	20.3534302942901	20.7308971789404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.1113030675603	20.3754808070051	20.6549772532837	20.3600031442227	20.2075453743221	20.8055336515287	20.3956664333886	20.8059951205808	20.5221130298491	20.4096228201202	20.1687618260894	20.1503011249673	19.9158482432895	NA	NA	NA	NA	20.2990087338697	20.3311192761687	19.8090493926763	21.0228612356654	20.5180784572974	20.3686192575627	20.7911880585296	20.4119384299612	NA	NA	NA	NA	NA	NA	NA	NA	20.0967273372542	20.1821319585845	20.1963393037712	19.8555466883934	20.1061938633755	20.2667537304207	20.2436730767555	20.0796478761943	NA	NA	NA	NA	20.76607630337	20.6641701468946	20.5664992719687	20.1036786648804	NA	NA	NA	NA	NA
ENSG00000001497.16	23.2254255368904	23.4337195519451	23.3048783793578	23.1878813802406	23.4315430590519	23.4080897641456	23.4196417830164	23.4469328662481	23.1130112146667	23.470623178762	23.2761952194587	23.4685293068379	23.1869715603121	23.0234189748598	23.3577621793922	23.3722911184811	23.1719871681203	23.5655065585171	23.6737168821705	23.330340119395	23.3447300304313	23.477252781333	23.2408061473243	23.3000602654384	23.3906315097407	23.4178675957795	23.529223803744	23.3427606923103	23.7177654939144	23.4047584481499	23.3455646142739	23.4687675066633	23.089310538485	23.6649738011589	23.5149771475546	23.5021873590785	23.2858700684062	23.0751059230058	23.5025966479477	23.5540686566979	23.4109177018048	23.4130486332712	23.8099482567366	23.5587218216303	23.1329282693825	23.4513219128251	23.8166484323331	23.5526914497668	23.5019587301829	23.3880765680874	23.3604744107991	23.2820031592126	23.3330772391383	23.4591676361376	23.3553271365457	23.5433016416302	23.6024608836652	23.4152041314378	23.2834802871458	23.2979625450587	23.4799478341747	23.6212197181916	23.2666919971453	23.3379971127264	23.2972612905085	23.4454947119013	23.3290676005348	23.1287134291965	23.2941259701658	23.5037356231781	23.7609707111676	23.6354729838675	23.1940935519486	23.2822366859183	23.2324015554133	23.2462932660083	23.2810190268635	23.5448999208656	23.3648022389253	23.2148193933456	23.411093467044	23.4442432986312	23.275943651683	23.3970873077541	23.1973209468002	23.1316387346086	23.4868863192287	23.0587909741747	23.5284793166148	23.2661461342986	23.4239841292376	23.1386244554734	23.5195325500284	23.3748715693257	23.5035073981249	23.3456404638517	23.3748075388673	23.5158126625252	23.3697099615772	23.7520044853755	23.3693359834708	23.2538810899299	23.6134117269726
